Bear1,2020_Checkers_PositionsNonbreeding_HR_model.rds,2020_Coca_Cola_PositionsNonbreeding_HR_model.rds,2020_Rikki_PositionsNonbreeding_HR_model.rds,2020_She_Tan_PositionsNonbreeding_HR_model.rds,2020_Tikki_PositionsNonbreeding_HR_model.rds,2020_Trouble_PositionsNonbreeding_HR_model.rds,2020_ZZ_PositionsNonbreeding_HR_model.rds,2021_Athena_PositionsNonbreeding_HR_model.rds,2021_Coca_Cola_PositionsNonbreeding_HR_model.rds,2021_Dahlia_PositionsNonbreeding_HR_model.rds,2021_Fanta_PositionsNonbreeding_HR_model.rds,2021_Ham_PositionsNonbreeding_HR_model.rds,2021_Maple_PositionsNonbreeding_HR_model.rds,2021_Mousse_PositionsNonbreeding_HR_model.rds,2021_Ombre_PositionsNonbreeding_HR_model.rds,2021_Rattlesnake_PositionsNonbreeding_HR_model.rds,2021_Rikki_PositionsNonbreeding_HR_model.rds,2021_She_Tan_PositionsNonbreeding_HR_model.rds,2021_Split_Ear_PositionsNonbreeding_HR_model.rds,2021_Squirt_PositionsNonbreeding_HR_model.rds,2021_Trouble_PositionsNonbreeding_HR_model.rds,2021_Wanderer_PositionsNonbreeding_HR_model.rds,2021_ZZ_PositionsNonbreeding_HR_model.rds,2022_Athena_PositionsNonbreeding_HR_model.rds,2022_Checkers_PositionsNonbreeding_HR_model.rds,2022_Coca_Cola_PositionsNonbreeding_HR_model.rds,2022_Dahlia_PositionsNonbreeding_HR_model.rds,2022_Fanta_PositionsNonbreeding_HR_model.rds,2022_Ham_PositionsNonbreeding_HR_model.rds,2022_Louise_PositionsNonbreeding_HR_model.rds,2022_Maple_PositionsNonbreeding_HR_model.rds,2022_Mousse_PositionsNonbreeding_HR_model.rds,2022_North_Miller_Sow_1_PositionsNonbreeding_HR_model.rds,2022_Ombre_PositionsNonbreeding_HR_model.rds,2022_Rattlesnake_PositionsNonbreeding_HR_model.rds,2022_Rikki_PositionsNonbreeding_HR_model.rds,2022_Split_Ear_PositionsNonbreeding_HR_model.rds,2022_Squirt_PositionsNonbreeding_HR_model.rds,2022_Trouble_PositionsNonbreeding_HR_model.rds,2022_Wanderer_PositionsNonbreeding_HR_model.rds,2022_ZZ_PositionsNonbreeding_HR_model.rds,2023_Athena1_PositionsNonbreeding_HR_model.rds,2023_Athena2_PositionsNonbreeding_HR_model.rds,2023_Blue_PositionsNonbreeding_HR_model.rds,2023_Blue2_PositionsNonbreeding_HR_model.rds,2023_Broom_PositionsNonbreeding_HR_model.rds,2023_Coca_Cola_PositionsNonbreeding_HR_model.rds,2023_Dahlia_PositionsNonbreeding_HR_model.rds,2023_Fanta_PositionsNonbreeding_HR_model.rds,2023_Hazel_PositionsNonbreeding_HR_model.rds,2023_Jay_PositionsNonbreeding_HR_model.rds,2023_JJ_PositionsNonbreeding_HR_model.rds,2023_Lilac_PositionsNonbreeding_HR_model.rds,2023_Louise_PositionsNonbreeding_HR_model.rds,2023_Maple1_PositionsNonbreeding_HR_model.rds,2023_Maple2_PositionsNonbreeding_HR_model.rds,2023_Mop_PositionsNonbreeding_HR_model.rds,2023_Ombre_PositionsNonbreeding_HR_model.rds,2023_Ruben_PositionsNonbreeding_HR_model.rds,2023_Skunk_PositionsNonbreeding_HR_model.rds,2023_Split_Ear_PositionsNonbreeding_HR_model.rds,2023_SplitEar2_PositionsNonbreeding_HR_model.rds,2023_Squirt_PositionsNonbreeding_HR_model.rds,2023_Thorn_PositionsNonbreeding_HR_model.rds,2023_Trouble_PositionsNonbreeding_HR_model.rds,2023_ZZ_PositionsNonbreeding_HR_model.rds,2024_Athena_PositionsNonbreeding_HR_model.rds,2024_Blue_PositionsNonbreeding_HR_model.rds,2024_Blue2_2_PositionsNonbreeding_HR_model.rds,2024_Blue2_PositionsNonbreeding_HR_model.rds,2024_Broom_PositionsNonbreeding_HR_model.rds,2024_CocaCola_PositionsNonbreeding_HR_model.rds,2024_Dahlia_PositionsNonbreeding_HR_model.rds,2024_Fork_PositionsNonbreeding_HR_model.rds,2024_Frostbite_PositionsNonbreeding_HR_model.rds,2024_Goldie_PositionsNonbreeding_HR_model.rds,2024_LMM_PositionsNonbreeding_HR_model.rds,2024_Louise_PositionsNonbreeding_HR_model.rds,2024_Maple_PositionsNonbreeding_HR_model.rds,2024_MillerSow3_PositionsNonbreeding_HR_model.rds,2024_Mop_PositionsNonbreeding_HR_model.rds,2024_Mowgli_PositionsNonbreeding_HR_model.rds,2024_Ratatouille_PositionsNonbreeding_HR_model.rds,2024_RJBmale_PositionsNonbreeding_HR_model.rds,2024_Ruben_PositionsNonbreeding_HR_model.rds,2024_Skunk_PositionsNonbreeding_HR_model.rds,2024_SplitEar_2_PositionsNonbreeding_HR_model.rds,2024_SplitEar1_PositionsNonbreeding_HR_model.rds,2024_SplitEar2_PositionsNonbreeding_HR_model.rds,2024_Squirt1_PositionsNonbreeding_HR_model.rds,2024_Squirt2_PositionsNonbreeding_HR_model.rds,2024_Tanja_PositionsNonbreeding_HR_model.rds,2024_Thorn_PositionsNonbreeding_HR_model.rds,2024_Toothless_PositionsNonbreeding_HR_model.rds,2024_ZZ_PositionsNonbreeding_HR_model.rds,Derived_2023_Squirt_PositionsNonbreeding_HR_model.rds
2023_Coca_Cola_PositionsNonbreeding_HR_model.rds,0.0412,0.4192,0.3055,0.2838,0.2183,0.4239,0.7006,0.3288,0.8837,0.6542,0.6226,0.4706,0.1257,0.1762,0.0052,0.1173,0.3211,0.6253,0.5029,0.3828,0.3396,0.5036,0.3061,0.3925,0.5124,0.5795,0.4655,0.1742,0.5444,0.4070,0.1042,0.7962,0.0548,0.0069,0.1737,0.3339,0.3698,0.3267,0.4992,0.0000,0.3919,0.3451,0.3488,0.0000,0.2359,0.0049,0.0000,0.4058,0.7137,0.0163,0.0028,0.0000,0.8527,0.2858,0.0021,0.0481,0.1982,0.0000,0.0090,0.0000,0.5191,0.3454,0.3557,0.1338,0.7693,0.2226,0.4228,0.0000,0.0000,0.0002,0.0002,0.8666,0.4994,0.0161,0.2302,0.5662,0.4290,0.0000,0.0569,0.1550,0.0025,0.4307,0.0000,0.2086,0.1943,0.0000,0.0000,0.5512,0.3721,0.3740,0.2192,0.5252,0.1188,0.0205,0.3209,0.3557
2023_Dahlia_PositionsNonbreeding_HR_model.rds,0.0820,0.4287,0.0126,0.3015,0.2349,0.3867,0.3086,0.3924,0.6527,0.9229,0.4290,0.4533,0.1741,0.1856,0.0080,0.1552,0.0156,0.0667,0.4861,0.8440,0.2371,0.5267,0.2051,0.4514,0.3950,0.5933,0.8804,0.1861,0.8564,0.4573,0.1618,0.7719,0.0325,0.0105,0.3289,0.0200,0.3840,0.8465,0.3778,0.0000,0.3724,0.3706,0.5245,0.0000,0.2641,0.0024,0.4058,0.0000,0.2700,0.0084,0.0106,0.0000,0.8535,0.3053,0.0094,0.0881,0.2409,0.0000,0.1062,0.0000,0.6130,0.2309,0.5169,0.0727,0.4191,0.0735,0.5938,0.0000,0.0000,0.0006,0.0001,0.2808,0.7863,0.0144,0.1359,0.7174,0.4206,0.0000,0.1062,0.4078,0.0006,0.2652,0.0000,0.2322,0.3326,0.0000,0.0000,0.5549,0.7144,0.6635,0.5333,0.4424,0.0196,0.0436,0.3217,0.5169
2023_Fanta_PositionsNonbreeding_HR_model.rds,0.0607,0.3568,0.0271,0.2440,0.1758,0.3883,0.8518,0.0929,0.4876,0.3553,0.6127,0.3489,0.1810,0.1455,0.0099,0.0778,0.0307,0.5825,0.2208,0.3103,0.2982,0.4447,0.2282,0.1749,0.7756,0.4808,0.3165,0.1434,0.2351,0.2689,0.1715,0.7860,0.0061,0.0133,0.1133,0.0435,0.2729,0.2990,0.4529,0.0000,0.2836,0.0741,0.1895,0.0000,0.2072,0.0124,0.7137,0.2700,0.0000,0.0410,0.0048,0.0000,0.8371,0.1323,0.0022,0.0805,0.1444,0.0000,0.0008,0.0000,0.2465,0.3067,0.3637,0.1934,0.8616,0.1538,0.1773,0.0000,0.0000,0.0004,0.0007,0.4933,0.3800,0.0377,0.1330,0.3713,0.3765,0.0000,0.0974,0.0726,0.0181,0.3642,0.0000,0.2024,0.1318,0.0000,0.0000,0.1970,0.1766,0.5201,0.2619,0.5716,0.2410,0.0308,0.2556,0.3637
2023_Hazel_PositionsNonbreeding_HR_model.rds,0.1282,0.5710,0.0015,0.6298,0.4607,0.6923,0.1140,0.0020,0.0121,0.0085,0.3147,0.2293,0.4161,0.3401,0.2232,0.0490,0.0015,0.0216,0.0108,0.0307,0.4781,0.5921,0.2731,0.0109,0.7799,0.2462,0.0199,0.3841,0.0047,0.0859,0.4154,0.7692,0.0000,0.3027,0.0319,0.0021,0.2573,0.0247,0.3830,0.0000,0.1780,0.0010,0.0173,0.1566,0.5577,0.8399,0.0163,0.0084,0.0410,0.0000,0.2496,0.0000,0.6524,0.0159,0.0473,0.4139,0.6531,0.3400,0.0000,0.0107,0.0127,0.7894,0.2487,0.7961,0.1330,0.1521,0.0063,0.1159,0.0224,0.1501,0.5688,0.0041,0.0565,0.9107,0.0898,0.0480,0.6303,0.0000,0.2852,0.0038,0.7324,0.3789,0.0000,0.4186,0.0503,0.0000,0.0037,0.0030,0.0072,0.1022,0.0745,0.4276,0.4367,0.1600,0.4330,0.2487
2023_Jay_PositionsNonbreeding_HR_model.rds,0.7448,0.4794,0.0000,0.4774,0.3355,0.6099,0.0029,0.0008,0.0065,0.0071,0.0465,0.1680,0.8644,0.2495,0.5401,0.0573,0.0000,0.0004,0.0048,0.0866,0.1309,0.5349,0.0695,0.0075,0.7284,0.3024,0.0320,0.2611,0.0054,0.0920,0.7679,0.7477,0.0000,0.6310,0.0767,0.0000,0.1922,0.0705,0.1171,0.0000,0.1386,0.0002,0.0256,0.1544,0.4496,0.2855,0.0028,0.0106,0.0048,0.2496,0.0000,0.0000,0.8258,0.0098,0.1662,0.9373,0.5875,0.3826,0.0000,0.0118,0.0113,0.6651,0.5453,0.1767,0.0224,0.0062,0.0066,0.1411,0.1149,0.7316,0.1629,0.0002,0.1008,0.3762,0.0122,0.0516,0.4428,0.0000,0.8478,0.0143,0.0826,0.0888,0.0000,0.4396,0.1394,0.0000,0.0560,0.0011,0.0144,0.0866,0.2318,0.2411,0.0120,0.6145,0.2792,0.5453
2023_JJ_PositionsNonbreeding_HR_model.rds,0.0001,0.1169,0.0000,0.0974,0.1241,0.2569,0.6274,0.0662,0.0028,0.0004,0.0025,0.1444,0.0001,0.1004,0.0000,0.0968,0.0000,0.0000,0.1091,0.0005,0.0390,0.4465,0.1022,0.1554,0.4324,0.0747,0.0034,0.0788,0.0036,0.2327,0.0000,0.7532,0.5842,0.0000,0.0629,0.0000,0.1765,0.0001,0.0182,0.0000,0.2381,0.0271,0.1308,0.0000,0.0684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8012,0.2597,0.0000,0.0000,0.3753,0.0000,0.0009,0.0000,0.0788,0.4077,0.0061,0.0002,0.0001,0.0282,0.0725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,0.0000,0.2132,0.0529,0.0869,0.0000,0.0000,0.0438,0.0000,0.0449,0.0000,0.0710,0.0940,0.0000,0.0000,0.0242,0.0357,0.0000,0.0000,0.0043,0.0000,0.0000,0.1317,0.0061
2023_Lilac_PositionsNonbreeding_HR_model.rds,0.7932,0.7578,0.8089,0.6820,0.8478,0.8353,0.8363,0.8737,0.8624,0.8689,0.7974,0.7661,0.7773,0.4056,0.5311,0.7990,0.8168,0.8301,0.8634,0.8779,0.5312,0.8136,0.5013,0.8564,0.8085,0.7882,0.8814,0.6915,0.8596,0.8601,0.8197,0.2653,0.8571,0.5668,0.9716,0.8305,0.8271,0.8738,0.6793,0.0000,0.6891,0.8687,0.8568,0.7530,0.7193,0.4900,0.8527,0.8535,0.8371,0.6524,0.8258,0.8012,0.0000,0.7907,0.7748,0.7852,0.8735,0.8016,0.8421,0.5512,0.8667,0.8933,0.8177,0.5528,0.8574,0.6599,0.8745,0.7579,0.6763,0.7914,0.7019,0.7864,0.8851,0.6536,0.5185,0.8684,0.7254,0.1845,0.8329,0.8932,0.8143,0.6277,0.1452,0.4703,0.9953,0.4820,0.6078,0.8682,0.8805,0.8656,0.8730,0.7921,0.8267,0.7159,0.7678,0.8177
2023_Louise_PositionsNonbreeding_HR_model.rds,0.0224,0.6310,0.2090,0.4536,0.6061,0.6745,0.2507,0.7947,0.4370,0.4323,0.3403,0.8424,0.0721,0.3568,0.0049,0.5431,0.2328,0.1540,0.8471,0.3360,0.4217,0.7463,0.5966,0.9352,0.0306,0.6268,0.5164,0.4730,0.4627,0.9926,0.0664,0.4460,0.7497,0.0060,0.7081,0.2786,0.9048,0.2954,0.4332,0.0000,0.9336,0.6878,0.9009,0.0001,0.4003,0.0062,0.2858,0.3053,0.1323,0.0159,0.0098,0.2597,0.7907,0.0000,0.0111,0.0381,0.7412,0.0005,0.5185,0.0000,0.8123,0.7493,0.2850,0.0937,0.2458,0.3856,0.7932,0.0000,0.0000,0.0019,0.0011,0.1809,0.5598,0.0122,0.7496,0.7485,0.5555,0.0044,0.0459,0.7105,0.0063,0.4742,0.0000,0.1704,0.6925,0.0000,0.0002,0.6247,0.7035,0.2011,0.1574,0.2954,0.0685,0.0209,0.7420,0.2850
2023_Maple1_PositionsNonbreeding_HR_model.rds,0.2187,0.1741,0.0000,0.1321,0.0886,0.2687,0.7347,0.0004,0.0094,0.0057,0.0618,0.1028,0.3108,0.0820,0.0455,0.0285,0.0000,0.0000,0.0066,0.1070,0.0771,0.3181,0.0451,0.0092,0.8935,0.1892,0.0433,0.0724,0.0055,0.0767,0.3598,0.7276,0.0000,0.0590,0.0462,0.0000,0.0957,0.1182,0.0998,0.0000,0.0970,0.0000,0.0299,0.0000,0.1204,0.0183,0.0021,0.0094,0.0022,0.0473,0.1662,0.0000,0.7748,0.0111,0.0000,0.2675,0.1418,0.0002,0.0000,0.0000,0.0136,0.2023,0.3004,0.0839,0.0404,0.0074,0.0073,0.0000,0.0000,0.0230,0.0014,0.0000,0.1099,0.0755,0.0130,0.0609,0.1764,0.0000,0.3435,0.0114,0.0168,0.0697,0.0000,0.1503,0.0664,0.0000,0.0000,0.0013,0.0153,0.1597,0.3150,0.2030,0.0038,0.1130,0.1050,0.3004
2023_Maple2_PositionsNonbreeding_HR_model.rds,0.7652,0.6693,0.0023,0.6563,0.4683,0.6783,0.0304,0.0150,0.0593,0.0683,0.1877,0.2977,0.9895,0.3232,0.5819,0.0942,0.0024,0.0254,0.0367,0.2480,0.2516,0.6129,0.1428,0.0415,0.8548,0.4863,0.1344,0.3732,0.0518,0.1684,0.9500,0.6580,0.0005,0.6788,0.1486,0.0029,0.3076,0.2270,0.2677,0.0000,0.2092,0.0097,0.0803,0.2331,0.6199,0.4192,0.0481,0.0881,0.0805,0.4139,0.9373,0.0000,0.7852,0.0381,0.2675,0.0000,0.6557,0.4449,0.0035,0.0275,0.0612,0.7317,0.7556,0.3251,0.1462,0.0327,0.0448,0.2079,0.0841,0.6656,0.2973,0.0174,0.2484,0.5567,0.0365,0.1548,0.6371,0.0000,0.9594,0.0590,0.2975,0.1996,0.0000,0.5276,0.2285,0.0000,0.0501,0.0217,0.0727,0.3033,0.4559,0.4670,0.1176,0.6728,0.4203,0.7556
2023_Mop_PositionsNonbreeding_HR_model.rds,0.6813,0.7702,0.1568,0.9110,0.9888,0.9592,0.3477,0.5056,0.2785,0.2954,0.3856,0.7183,0.6274,0.7967,0.7579,0.7714,0.1748,0.1381,0.5378,0.3612,0.7065,0.9099,0.7702,0.6168,0.5997,0.5239,0.4100,0.9891,0.2940,0.7738,0.5870,0.7402,0.5496,0.7561,0.7645,0.2161,0.8518,0.3524,0.5342,0.0025,0.8016,0.4238,0.6266,0.6252,0.9105,0.7304,0.1982,0.2409,0.1444,0.6531,0.5875,0.3753,0.8735,0.7412,0.1418,0.6557,0.0000,0.5086,0.4556,0.7015,0.5243,0.9941,0.5440,0.6390,0.2588,0.6208,0.5104,0.6196,0.1535,0.6622,0.6725,0.1249,0.4858,0.6886,0.7747,0.5225,0.7473,0.0081,0.5948,0.6279,0.4069,0.6034,0.5696,0.7474,0.7872,0.0963,0.0874,0.3790,0.4852,0.3137,0.3509,0.4532,0.3064,0.7518,0.9341,0.5440
2023_Ombre_PositionsNonbreeding_HR_model.rds,0.1431,0.2790,0.0000,0.3144,0.2205,0.5370,0.1054,0.0000,0.0000,0.0000,0.0089,0.0527,0.3919,0.1691,0.3611,0.0177,0.0000,0.0000,0.0000,0.0006,0.0725,0.3982,0.0358,0.0001,0.9128,0.0831,0.0002,0.1692,0.0000,0.0215,0.2515,0.7876,0.0000,0.4713,0.0088,0.0000,0.0790,0.0004,0.0360,0.0000,0.0662,0.0000,0.0013,0.4798,0.2921,0.5258,0.0000,0.0000,0.0000,0.3400,0.3826,0.0000,0.8016,0.0005,0.0002,0.4449,0.5086,0.0000,0.0000,0.0186,0.0001,0.6236,0.1289,0.1300,0.0010,0.0023,0.0000,0.3884,0.1159,0.3026,0.5672,0.0000,0.0048,0.5144,0.0053,0.0027,0.2615,0.0000,0.1889,0.0001,0.2270,0.0430,0.0000,0.3127,0.0211,0.0000,0.0002,0.0000,0.0000,0.0015,0.0043,0.0743,0.0054,0.2058,0.1560,0.1289
2023_Ruben_PositionsNonbreeding_HR_model.rds,0.0051,0.2735,0.0004,0.2272,0.2517,0.2632,0.0673,0.5295,0.0546,0.1509,0.0757,0.3112,0.0105,0.1782,0.0002,0.2662,0.0005,0.0002,0.4211,0.1427,0.0811,0.5667,0.1086,0.5549,0.0823,0.2366,0.3699,0.1740,0.1566,0.5291,0.0057,0.7392,0.1804,0.0003,0.5282,0.0007,0.3669,0.1380,0.1006,0.0000,0.3501,0.4150,0.6383,0.0000,0.2043,0.0000,0.0090,0.1062,0.0008,0.0000,0.0000,0.0009,0.8421,0.5185,0.0000,0.0035,0.4556,0.0000,0.0000,0.0000,0.4404,0.3404,0.1180,0.0029,0.0169,0.0157,0.5128,0.0000,0.0000,0.0000,0.0000,0.0030,0.3689,0.0001,0.1260,0.4556,0.2308,0.0059,0.0022,0.7419,0.0000,0.0770,0.0000,0.1670,0.4595,0.0000,0.0000,0.2708,0.5658,0.0358,0.0228,0.0612,0.0001,0.0039,0.2695,0.1180
2023_Skunk_PositionsNonbreeding_HR_model.rds,0.0181,0.1073,0.0000,0.4037,0.3532,0.6601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0273,0.2924,0.2440,0.0035,0.0000,0.0000,0.0000,0.0000,0.0043,0.4719,0.0022,0.0000,0.0704,0.0038,0.0000,0.2534,0.0000,0.0007,0.0049,0.7076,0.0000,0.2615,0.0004,0.0000,0.0132,0.0000,0.0005,0.0000,0.0066,0.0000,0.0000,0.1903,0.4025,0.1259,0.0000,0.0000,0.0000,0.0107,0.0118,0.0000,0.5512,0.0000,0.0000,0.0275,0.7015,0.0186,0.0000,0.0000,0.0000,0.8013,0.0058,0.0035,0.0000,0.0000,0.0000,0.2114,0.0012,0.0338,0.1183,0.0000,0.0000,0.0306,0.0001,0.0000,0.0675,0.0000,0.0035,0.0000,0.0009,0.0011,0.0001,0.5248,0.0023,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0456,0.0700,0.0058
2023_Split_Ear_PositionsNonbreeding_HR_model.rds,0.0403,0.6475,0.2719,0.4451,0.4413,0.5634,0.2866,0.9411,0.7612,0.8004,0.5066,0.7937,0.1232,0.2912,0.0067,0.3284,0.2986,0.2321,0.9886,0.6049,0.4065,0.6613,0.4593,0.9660,0.0628,0.7817,0.8266,0.3402,0.8276,0.8748,0.1111,0.6963,0.4988,0.0084,0.5614,0.3340,0.7288,0.5488,0.5267,0.0000,0.7277,0.9108,0.9198,0.0000,0.3877,0.0043,0.5191,0.6130,0.2465,0.0127,0.0113,0.0788,0.8667,0.8123,0.0136,0.0612,0.5243,0.0001,0.4404,0.0000,0.0000,0.5164,0.4534,0.0965,0.4206,0.2707,0.9911,0.0000,0.0000,0.0014,0.0004,0.3646,0.8208,0.0139,0.4600,0.9662,0.6037,0.0030,0.0738,0.6920,0.0030,0.4778,0.0000,0.2330,0.5587,0.0000,0.0001,0.9285,0.9461,0.3848,0.3000,0.4496,0.0661,0.0315,0.5884,0.4534
2023_SplitEar2_PositionsNonbreeding_HR_model.rds,0.7397,0.8403,0.2991,0.9168,0.9978,0.9926,0.6132,0.4747,0.3748,0.3080,0.6708,0.7929,0.7185,0.7064,0.8283,0.8760,0.3217,0.3364,0.5494,0.3317,0.8405,0.9171,0.8500,0.5965,0.7125,0.6557,0.3380,0.9866,0.2973,0.7730,0.6773,0.6993,0.5643,0.8240,0.7366,0.3827,0.8685,0.3077,0.7738,0.0064,0.8505,0.4095,0.5743,0.7215,0.9234,0.8174,0.3454,0.2309,0.3067,0.7894,0.6651,0.4077,0.8933,0.7493,0.2023,0.7317,0.9941,0.6236,0.3404,0.8013,0.5164,0.0000,0.6235,0.8105,0.5081,0.8007,0.4706,0.7164,0.2177,0.7318,0.7742,0.1991,0.4224,0.7937,0.8423,0.4981,0.8389,0.0045,0.6640,0.5040,0.5953,0.8069,0.7574,0.8291,0.7811,0.1518,0.1079,0.3896,0.3943,0.3890,0.3944,0.6894,0.6133,0.8066,0.9280,0.6235
2023_Squirt_PositionsNonbreeding_HR_model.rds,0.5660,0.8499,0.0763,0.6858,0.5335,0.6733,0.1937,0.2705,0.4326,0.5037,0.5614,0.6454,0.8323,0.3442,0.2846,0.2168,0.0815,0.1978,0.3614,0.7759,0.4414,0.6702,0.3223,0.3583,0.5828,0.8836,0.6426,0.4297,0.4308,0.5125,0.8834,0.5492,0.0634,0.3308,0.4216,0.0910,0.5891,0.7496,0.5920,0.0000,0.4614,0.2421,0.4324,0.0512,0.6395,0.1748,0.3557,0.5169,0.3637,0.2487,0.5453,0.0061,0.8177,0.2850,0.3004,0.7556,0.5440,0.1289,0.1180,0.0058,0.4534,0.6235,0.0000,0.3500,0.5281,0.1428,0.4023,0.0447,0.0257,0.2976,0.0868,0.2149,0.7826,0.3109,0.1678,0.6389,0.8254,0.0005,0.8333,0.3643,0.1717,0.4360,0.0000,0.4548,0.4918,0.0000,0.0292,0.3202,0.4898,0.8084,0.8682,0.8049,0.2234,0.4735,0.6076,1.0000
2023_Thorn_PositionsNonbreeding_HR_model.rds,0.1238,0.7084,0.0461,0.6825,0.5434,0.7176,0.5006,0.0372,0.1091,0.0858,0.6575,0.4598,0.3783,0.3995,0.1261,0.0892,0.0478,0.1619,0.0880,0.1292,0.8368,0.6599,0.5874,0.0790,0.5647,0.4376,0.1064,0.4671,0.0596,0.2196,0.4084,0.7063,0.0051,0.1673,0.0780,0.0597,0.4490,0.1130,0.7575,0.0000,0.3458,0.0299,0.0779,0.0510,0.5800,0.5148,0.1338,0.0727,0.1934,0.7961,0.1767,0.0002,0.5528,0.0937,0.0839,0.3251,0.6390,0.1300,0.0029,0.0035,0.0965,0.8105,0.3500,0.0000,0.3978,0.5281,0.0617,0.0370,0.0095,0.0867,0.2441,0.0649,0.1799,0.5600,0.2909,0.1752,0.8013,0.0000,0.2890,0.0304,0.4697,0.7584,0.0000,0.3588,0.1033,0.0000,0.0042,0.0503,0.0608,0.2626,0.1861,0.6897,0.6761,0.1265,0.6155,0.3500
2023_Trouble_PositionsNonbreeding_HR_model.rds,0.0691,0.6100,0.1883,0.4208,0.3177,0.5514,0.6766,0.2172,0.6423,0.5248,0.9236,0.5878,0.2809,0.2389,0.0216,0.1330,0.1933,0.7056,0.3860,0.4497,0.5413,0.5592,0.4236,0.3158,0.4150,0.7377,0.4657,0.2593,0.4092,0.4327,0.2844,0.8111,0.0226,0.0289,0.1902,0.2154,0.4718,0.4066,0.7558,0.0000,0.4596,0.2029,0.3126,0.0001,0.3574,0.0481,0.7693,0.4191,0.8616,0.1330,0.0224,0.0001,0.8574,0.2458,0.0404,0.1462,0.2588,0.0010,0.0169,0.0000,0.4206,0.5081,0.5281,0.3978,0.0000,0.3349,0.3247,0.0000,0.0000,0.0031,0.0079,0.5111,0.5516,0.1003,0.2567,0.5649,0.6442,0.0000,0.1726,0.1424,0.0809,0.6456,0.0000,0.2745,0.2168,0.0000,0.0000,0.3509,0.3162,0.6470,0.3807,0.8640,0.5590,0.0499,0.4531,0.5281
2023_ZZ_PositionsNonbreeding_HR_model.rds,0.0099,0.5959,0.2248,0.4878,0.4921,0.7059,0.7694,0.1720,0.2201,0.1440,0.5411,0.6730,0.0631,0.3641,0.0075,0.1474,0.2436,0.2481,0.2850,0.0883,0.8779,0.6721,0.9205,0.2624,0.0881,0.4327,0.1215,0.4056,0.1211,0.4717,0.0655,0.7756,0.1187,0.0102,0.0953,0.3118,0.6345,0.0664,0.7639,0.0000,0.6574,0.1627,0.1609,0.0006,0.3734,0.0712,0.2226,0.0735,0.1538,0.1521,0.0062,0.0282,0.6599,0.3856,0.0074,0.0327,0.6208,0.0023,0.0157,0.0000,0.2707,0.8007,0.1428,0.5281,0.3349,0.0000,0.1830,0.0003,0.0001,0.0015,0.0128,0.1255,0.1797,0.0618,0.7879,0.2659,0.6466,0.0001,0.0347,0.0628,0.0456,0.9211,0.0000,0.2030,0.1278,0.0000,0.0000,0.1773,0.1273,0.1118,0.0562,0.4496,0.3148,0.0104,0.6562,0.1428
2024_Athena_PositionsNonbreeding_HR_model.rds,0.0324,0.5793,0.1861,0.4029,0.4022,0.5152,0.1940,0.9765,0.6859,0.7702,0.4148,0.7126,0.0963,0.2691,0.0044,0.3210,0.2062,0.1477,0.9774,0.5633,0.3262,0.6446,0.3768,0.9675,0.0541,0.7006,0.8121,0.3055,0.8245,0.8369,0.0823,0.7190,0.5196,0.0055,0.5626,0.2256,0.6664,0.5095,0.4310,0.0000,0.6664,0.9437,0.9457,0.0000,0.3517,0.0020,0.4228,0.5938,0.1773,0.0063,0.0066,0.0725,0.8745,0.7932,0.0073,0.0448,0.5104,0.0000,0.5128,0.0000,0.9911,0.4706,0.4023,0.0617,0.3247,0.1830,0.0000,0.0000,0.0000,0.0006,0.0001,0.3030,0.7836,0.0082,0.3878,0.9367,0.5314,0.0039,0.0525,0.7227,0.0010,0.3782,0.0000,0.2233,0.5497,0.0000,0.0000,0.9350,0.9687,0.3220,0.2512,0.3640,0.0331,0.0240,0.5264,0.4023
2024_Blue_PositionsNonbreeding_HR_model.rds,0.0798,0.2172,0.0000,0.3512,0.2605,0.5959,0.0004,0.0000,0.0000,0.0000,0.0008,0.0199,0.1813,0.1993,0.4415,0.0102,0.0000,0.0000,0.0000,0.0000,0.0272,0.4173,0.0134,0.0000,0.6273,0.0286,0.0000,0.1876,0.0000,0.0066,0.0651,0.7901,0.0000,0.5461,0.0028,0.0000,0.0438,0.0000,0.0072,0.0000,0.0326,0.0000,0.0002,0.9924,0.3280,0.4552,0.0000,0.0000,0.0000,0.1159,0.1411,0.0000,0.7579,0.0000,0.0000,0.2079,0.6196,0.3884,0.0000,0.2114,0.0000,0.7164,0.0447,0.0370,0.0000,0.0003,0.0000,0.0000,0.0197,0.2127,0.5612,0.0000,0.0005,0.2334,0.0013,0.0003,0.1793,0.0000,0.0464,0.0000,0.0196,0.0114,0.0000,0.3686,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0142,0.0002,0.1560,0.1203,0.0447
